Section,Item,Description,Type,Codelist,XML,Occur,Rules
,percentage,"When multiple budget-item elements are declared within a single country-budget-items element, then, for each vocabulary used, the percentage values should sum 100%.",xsd:decimal,,iati-activities/iati-activity/country-budget-items/budget-item/@percentage,0..1,"7.9.1: When multiple budget items are declared, each must have a percentage.
7.9.2: Percentage values for budget items, should add up to 100%.
7.9.4: When a single budget item is declared, the percentage must either be omitted, or set to 100.
12.2.1: The percentage value must be between 0.0 and 100.0 (inclusive)."
,description,"A longer, human-readable description of the budget-item. May be repeated for different languages.",,,iati-activities/iati-activity/country-budget-items/budget-item/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/@xml:lang,0..1,
humanitarian-scope,,"Classification of emergencies, appeals and other humanitarian events and actions.",,,iati-activities/iati-activity/humanitarian-scope,0..*,
,type,A code for the type of event or action being classified.,xsd:string,Humanitarian Scope Type,iati-activities/iati-activity/humanitarian-scope/@type,1..1,
,vocabulary,A code for a recognised vocabulary of terms classifying the event or action.,xsd:string,Humanitarian Scope Vocabulary,iati-activities/iati-activity/humanitarian-scope/@vocabulary,1..1,
,vocabulary-uri,A u.r.i. for the vocabulary specified which provides access to the list of codes and descriptions.,xsd:anyURI,,iati-activities/iati-activity/humanitarian-scope/@vocabulary-uri,0..1,
,code,A code for the event or action from the vocabulary specified.,xsd:string,,iati-activities/iati-activity/humanitarian-scope/@code,1..1,
,narrative,The description of the code specified.,,,iati-activities/iati-activity/humanitarian-scope/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/humanitarian-scope/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/humanitarian-scope/narrative/@xml:lang,0..1,
policy-marker,,A policy or theme addressed by the activity. This element was designed for the reporting of OECD DAC CRS policy markers (columns 20-23 and 28-31 of the CRS++ reporting format) but the vocabulary attribute allows it use by other (including local) systems. This element can be repeated for each policy marker.,,,iati-activities/iati-activity/policy-marker,0..*,
,vocabulary,An IATI code for the vocabulary to be used to define policy markers. If omitted then the OECD DAC vocabulary is assumed.,xsd:string,Policy Marker Vocabulary,iati-activities/iati-activity/policy-marker/@vocabulary,0..1,
,vocabulary-uri,"If the vocabulary is 99 (reporting organisation), the URI where this internal vocabulary is defined.",xsd:anyURI,,iati-activities/iati-activity/policy-marker/@vocabulary-uri,0..1,
,code,A policy marker code from the codelist specified in the vocabulary.,xsd:string,(Policy Marker),iati-activities/iati-activity/policy-marker/@code,1..1,
,significance,An OECD DAC CRS code indicating the significance of the policy marker for this activity. This attribute MUST be used for all OECD DAC CRS vocabularies.,xsd:string,Policy Significance,iati-activities/iati-activity/policy-marker/@significance,0..1,"6.14.1: When using a policy marker code for vocabulary 1, it must include a significance."
,narrative,A description of the policy marker. This MUST ONLY be used if vocabulary is 99 (the reporting organisation’s own marker vocabulary). May be repeated for multiple languages.,,,iati-activities/iati-activity/policy-marker/narrative,0..*,"6.13.1: When using a reporting organisation policy marker code (vocabulary 99), it must include a narrative."
,,,xsd:string,,iati-activities/iati-activity/policy-marker/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/policy-marker/narrative/@xml:lang,0..1,
collaboration-type,,"The type of collaboration involved in the activity’s disbursements, e.g. “bilateral” or “multilateral”.",,,iati-activities/iati-activity/collaboration-type,0..1,
,code,A code from the OECD DAC CRS “Bi_Multi” codelist.,xsd:string,Collaboration Type,iati-activities/iati-activity/collaboration-type/@code,1..1,
default-flow-type,,"Whether the activity is funded by Official Development Assistance (ODA), Other Official Flows (OOF), etc",,,iati-activities/iati-activity/default-flow-type,0..1,
,code,A code from the OECD DAC CRS “Type of flow” codelist,xsd:string,Flow Type,iati-activities/iati-activity/default-flow-type/@code,1..1,
default-finance-type,,"The type of finance (e.g. grant, loan, debt relief, etc). This the default value for all transactions in the activity report; it can be overridden by individual transactions.",,,iati-activities/iati-activity/default-finance-type,0..1,
,code,A code from the OECD DAC CRS “Type of finance” codelist,xsd:string,Finance Type,iati-activities/iati-activity/default-finance-type/@code,1..1,
default-aid-type,,"The type of aid being supplied (project-type intervention, budget support, debt relief, etc.). This element specifies a default for all the activity’s financial transactions; it can be overridden at the individual transaction level.",,,iati-activities/iati-activity/default-aid-type,0..*,"107.1.1: The activity should also declare an aid type code from aid type vocabulary 1 - OECD DAC.
107.1.2: Each activity should only contain one default aid type code per aid type vocabulary (e.g. 1 - OECD DAC)"
,code,A code from the specified vocabulary.,xsd:string,(Aid Type)(Earmarking Category)(Cash and Voucher Modalities),iati-activities/iati-activity/default-aid-type/@code,1..1,
,vocabulary,A code for the vocabulary aid-type classifications. If omitted the AidType (OECD DAC) codelist is assumed. The code must be a valid value in the AidTypeVocabulary codelist. Each selected vocabulary should only be used once for each activity (iati-activity/default-aid-type) or transaction (iati-activity/transaction/aid-type). All activities and/or transactions should contain a code from the DAC Type of Aid Vocabulary. The above guidelines should be converted to rules at the next integer upgrade.,xsd:string,Aid Type Vocabulary,iati-activities/iati-activity/default-aid-type/@vocabulary,0..1,
default-tied-status,,"Whether the aid is untied, tied, or partially tied. This element specifies a default for all the activity’s financial transactions; it can be overridden at the individual transaction level. If an activity is partially tied it is recommended that tied and untied commitments are reported as separate transactions and that transaction/tied-status is used to classify them.",,,iati-activities/iati-activity/default-tied-status,0..1,
,code,"An IATI code interpreting the usage of Columns 36-38 of the CRS++ reporting format. (Amount tied, Amount partially untied, Amount tied)",xsd:string,Tied Status,iati-activities/iati-activity/default-tied-status/@code,1..1,
budget,,"The value of the activity’s budget for each financial quarter or year over the lifetime of the activity. The purpose of this element is to provide predictability for recipient planning on an annual basis. The status explains whether the budget being reported is indicative or has been formally committed. The value should appear within the BudgetStatus codelist. If the @status attribute is not present, the budget is assumed to be indicative. The sum of budgets may or may not match the sum of commitments, depending on a publisher’s business model and legal frameworks.",,,iati-activities/iati-activity/budget,0..*,
,type,Whether this is the original budget (prepared when the original commitment was made) or has subsequently been revised,xsd:string,Budget Type,iati-activities/iati-activity/budget/@type,0..1,
,status,"The status explains whether the budget being reported is indicative or has been formally committed. The value should appear within the BudgetStatus codelist. If the @status attribute is not present, the budget is assumed to be indicative.",xsd:string,Budget Status,iati-activities/iati-activity/budget/@status,0..1,
,period-start,The start of the budget period.,,,iati-activities/iati-activity/budget/period-start,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/budget/period-start/@iso-date,1..1,"7.5.3: Budget Period must not be longer than one year.
8.6.3: The start of the period must be before the end of the period."
,period-end,The end of the period (which must not be greater than one year),,,iati-activities/iati-activity/budget/period-end,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/budget/period-end/@iso-date,1..1,"7.5.3: Budget Period must not be longer than one year.
8.6.3: The start of the period must be before the end of the period."
,value,The budget for this period.,xsd:decimal,,iati-activities/iati-activity/budget/value,1..1,
,currency,A three letter ISO 4217 code for the original currency of the amount. This is required for all currency amounts unless the iati-organisation/@default-currency attribute is specified.,xsd:string,Currency,iati-activities/iati-activity/budget/value/@currency,0..1,
,value-date,The date to be used for determining the exchange rate for currency conversions.,xsd:date,,iati-activities/iati-activity/budget/value/@value-date,1..1,
planned-disbursement,,The planned disbursement element should only be used to report specific planned cash transfers. These should be reported for a specific date or a meaningfully predictable period. These transactions should be reported in addition to budgets - which are typically annual breakdowns of the total activity commitment.,,,iati-activities/iati-activity/planned-disbursement,0..*,
,type,Whether this is an original plan (prepared when the original commitment was made) or has subsequently been revised.,xsd:string,Budget Type,iati-activities/iati-activity/planned-disbursement/@type,0..1,
,period-start,The exact date of the planned disbursement OR the starting date of the period in which this specific disbursement will be made.,,,iati-activities/iati-activity/planned-disbursement/period-start,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/planned-disbursement/period-start/@iso-date,1..1,8.6.3: The start of the period must be before the end of the period.
,period-end,The ending date for the period in which this specific disbursement will be made.,,,iati-activities/iati-activity/planned-disbursement/period-end,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/planned-disbursement/period-end/@iso-date,1..1,8.6.3: The start of the period must be before the end of the period.
,value,The amount that is planned to be disbursed in the specified currency.,xsd:decimal,,iati-activities/iati-activity/planned-disbursement/value,1..1,
,currency,A three letter ISO 4217 code for the original currency of the amount. This is required for all currency amounts unless the iati-organisation/@default-currency attribute is specified.,xsd:string,Currency,iati-activities/iati-activity/planned-disbursement/value/@currency,0..1,
,value-date,The date to be used for determining the exchange rate for currency conversions.,xsd:date,,iati-activities/iati-activity/planned-disbursement/value/@value-date,1..1,
,provider-org,The organisation from which the planned disbursement will originate. If omitted the reporting-org is assumed.,,,iati-activities/iati-activity/planned-disbursement/provider-org,0..1,
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}. If this is not present then the narrative MUST contain the name of the organisation.,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/@ref,0..1,
,provider-activity-id,The identifier for the activity in which the planned disbursement will be reported. If omitted the current activity is assumed.,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/@provider-activity-id,0..1,
,type,The type of organisation providing the funds.,xsd:string,Organisation Type,iati-activities/iati-activity/planned-disbursement/provider-org/@type,0..1,
,narrative,The name of the organisation. This can be repeated in multiple languages,,,iati-activities/iati-activity/planned-disbursement/provider-org/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/@xml:lang,0..1,
,receiver-org,The organisation receiving the money from the planned disbursement.,,,iati-activities/iati-activity/planned-disbursement/receiver-org,0..1,
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}. If this is not present then the narrative MUST contain the name of the organisation.,xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/@ref,0..1,
,receiver-activity-id,"If outgoing funds are being provided to another activity that is reported to IATI, this may, if possible, record the unique IATI activity identifier for that activity.",xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/@receiver-activity-id,0..1,
,type,The type of organisation receiving the funds.,xsd:string,Organisation Type,iati-activities/iati-activity/planned-disbursement/receiver-org/@type,0..1,
,narrative,The name of the organisation. This can be repeated in multiple languages,,,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/@xml:lang,0..1,
capital-spend,,The percentage of the total commitment that is for capital spending,,,iati-activities/iati-activity/capital-spend,0..1,
,percentage,"The percentage of the total commitment allocated to or planned for capital expenditure. Content must be a decimal number between 0 and 100 inclusive, with no percentage sign.",xsd:decimal,,iati-activities/iati-activity/capital-spend/@percentage,1..1,12.2.1: The percentage value must be between 0.0 and 100.0 (inclusive).
transaction,,Transactions recording committed or actual funds flowing in or out of an aid activity.,,,iati-activities/iati-activity/transaction,0..*,"3.7.1: Recipient country or recipient region should be declared for either the activity or for all transactions.
3.7.2: Recipient country or recipient region should be declared for either the activity or for all transactions."
,ref,An internal reference linking this transaction back to the publisher’s financial management system.,xsd:string,,iati-activities/iati-activity/transaction/@ref,0..1,
,humanitarian,"A process flag to indicate that this transaction relates entirely or partially to humanitarian aid. If the entire activity relates to humanitarian aid this should be reported using iati-activity/@humanitarian, rather than for each transaction.",xsd:boolean,,iati-activities/iati-activity/transaction/@humanitarian,0..1,
,transaction-type,"The type of the transaction (e.g. commitment, disbursement, expenditure, etc.).",,,iati-activities/iati-activity/transaction/transaction-type,1..1,
,code,A code from the specified vocabulary.,xsd:string,Transaction Type,iati-activities/iati-activity/transaction/transaction-type/@code,1..1,
,transaction-date,"The date on which the transaction was made or (in the case of commitments) agreed. The narrative content may contain text (e.g. 2011Q1) for accurately recording less specific dates such as month, quarter, or year.",,,iati-activities/iati-activity/transaction/transaction-date,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/transaction/transaction-date/@iso-date,1..1,11.2.1: The transaction date must not be in the future.
,value,The amount of the contribution.,xsd:decimal,,iati-activities/iati-activity/transaction/value,1..1,
,currency,A three letter ISO 4217 code for the original currency of the amount. This is required for all currency amounts unless the iati-organisation/@default-currency attribute is specified.,xsd:string,Currency,iati-activities/iati-activity/transaction/value/@currency,0..1,
,value-date,The date to be used for determining the exchange rate for currency conversions.,xsd:date,,iati-activities/iati-activity/transaction/value/@value-date,1..1,11.2.2: The transaction value date must not be in the future.
,description,A human-readable description of the transaction.,,,iati-activities/iati-activity/transaction/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/transaction/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/description/narrative/@xml:lang,0..1,
,provider-org,For incoming funds this is the organisation from which the transaction originated. If omitted on outgoing funds the reporting-org is assumed.,,,iati-activities/iati-activity/transaction/provider-org,0..1,
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}. If this is not present then the narrative MUST contain the name of the organisation.,xsd:string,,iati-activities/iati-activity/transaction/provider-org/@ref,0..1,
,provider-activity-id,"If incoming funds are being provided from the budget of another activity that is reported to IATI, it if STRONGLY RECOMMENDED that this should record the provider’s unique IATI activity identifier for that activity.",xsd:string,,iati-activities/iati-activity/transaction/provider-org/@provider-activity-id,0..1,
,type,The type of organisation providing the funds.,xsd:string,Organisation Type,iati-activities/iati-activity/transaction/provider-org/@type,0..1,
,narrative,The name of the organisation. This can be repeated in multiple languages,,,iati-activities/iati-activity/transaction/provider-org/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/provider-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/provider-org/narrative/@xml:lang,0..1,
,receiver-org,The organisation receiving the money from the transaction (if omitted on incoming funds then the receiver organisation is assumed to be the reporting organisation).,,,iati-activities/iati-activity/transaction/receiver-org,0..1,
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}. If this is not present then the narrative MUST contain the name of the organisation.,xsd:string,,iati-activities/iati-activity/transaction/receiver-org/@ref,0..1,
,receiver-activity-id,"If outgoing funds are being provided to another activity that is reported to IATI, this may, if possible, record the unique IATI activity identifier for that activity.",xsd:string,,iati-activities/iati-activity/transaction/receiver-org/@receiver-activity-id,0..1,
,type,The type of organisation receiving the funds.,xsd:string,Organisation Type,iati-activities/iati-activity/transaction/receiver-org/@type,0..1,
,narrative,The name of the organisation. This can be repeated in multiple languages,,,iati-activities/iati-activity/transaction/receiver-org/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/receiver-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/receiver-org/narrative/@xml:lang,0..1,
,disbursement-channel,"The channel through which the funds will flow for this transaction, from an IATI codelist.",,,iati-activities/iati-activity/transaction/disbursement-channel,0..1,
,code,An IATI code defining channels of disbursement,xsd:string,Disbursement Channel,iati-activities/iati-activity/transaction/disbursement-channel/@code,1..1,
,sector,"A recognised code, from a recognised vocabulary, classifying the purpose of this transaction. If this element is used then ALL transaction elements should contain a transaction/sector element and iati-activity/sector should NOT be used. This element can be used multiple times, but only one sector can be reported per vocabulary.",,,iati-activities/iati-activity/transaction/sector,0..*,"6.2.2: Each activity must have a specified sector, either at activity level OR for all transactions.
6.6.2: Sectors must only be declared at activity level OR for all transactions."
,vocabulary,"An IATI code for the vocabulary (codelist) used for sector classifications. If omitted, OECD DAC 5-digit Purpose Codes are assumed. It is recommended that OECD DAC 5-digit Purpose Codes are used wherever possible. It is also recommended that if a publisher has its own classification system or systems, then the vocabularies 99 or 98 (Reporting Organisation’s own vocabularies) should be used in addition to the DAC codes. Note that at transaction level, only one sector per vocabulary can be reported.",xsd:string,Sector Vocabulary,iati-activities/iati-activity/transaction/sector/@vocabulary,0..1,
,vocabulary-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 or 98 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/transaction/sector/@vocabulary-uri,0..1,
,code,The code for the sector.,xsd:string,(DAC 5 Digit Sector)(DAC 3 Digit Sector)(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/transaction/sector/@code,1..1,
,narrative,The free text description of the reporting organisation’s own sector definition. This can be repeated in multiple languages,,,iati-activities/iati-activity/transaction/sector/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/sector/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/sector/narrative/@xml:lang,0..1,
,recipient-country,A country that will benefit from this transaction. If a specific country is not known the recipient-region element should be used instead. If transaction/recipient-country AND/OR transaction/recipient-region are used THEN ALL transaction elements MUST contain a recipient-country or recipient-region element AND (iati-activity/recipient-country AND iati-activity/recipient-region MUST NOT be used),,,iati-activities/iati-activity/transaction/recipient-country,0..1,3.6.2: Recipient countries or regions must only be declared at activity level OR for all transactions.
,code,ISO 3166-1 alpha-2 code for the country.,xsd:string,Country,iati-activities/iati-activity/transaction/recipient-country/@code,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/transaction/recipient-country/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/recipient-country/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/recipient-country/narrative/@xml:lang,0..1,
,recipient-region,"A supranational geopolitical region that will benefit from this transaction. If a specific country is not known, then this element MUST be used. If transaction/recipient-country AND/OR transaction/recipient-region are used THEN ALL transaction elements MUST contain a recipient-country or recipient-region element AND (iati-activity/recipient-country AND iati-activity/recipient-region MUST NOT be used)",,,iati-activities/iati-activity/transaction/recipient-region,0..1,3.6.2: Recipient countries or regions must only be declared at activity level OR for all transactions.
,code,Either an OECD DAC or UN region code. Codelist is determined by vocabulary attribute.,xsd:string,(Region),iati-activities/iati-activity/transaction/recipient-region/@code,1..1,
,vocabulary,An IATI code for the vocabulary from which the region code is drawn. If it is not present 1 - ‘OECD DAC’ is assumed.,xsd:string,Region Vocabulary,iati-activities/iati-activity/transaction/recipient-region/@vocabulary,0..1,
,vocabulary-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/transaction/recipient-region/@vocabulary-uri,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/transaction/recipient-region/narrative,0..*,
,,,xsd:string,,iati-activities/iati-activity/transaction/recipient-region/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/transaction/recipient-region/narrative/@xml:lang,0..1,
,flow-type,Optional element to override the top-level default-flow-type element.,,,iati-activities/iati-activity/transaction/flow-type,0..1,
,code,A code from the OECD DAC CRS “Type of flow” codelist,xsd:string,Flow Type,iati-activities/iati-activity/transaction/flow-type/@code,1..1,
,finance-type,"Optional element to override the top-level default-finance-type element on a transaction-by-transaction basis, if needed.",,,iati-activities/iati-activity/transaction/finance-type,0..1,
,code,A code from the OECD DAC CRS “Type of finance” codelist,xsd:string,Finance Type,iati-activities/iati-activity/transaction/finance-type/@code,1..1,
,aid-type,"Optional element to override the top-level default-aid-type element (debt relief, etc.) on a transaction-by-transaction basis if needed.",,,iati-activities/iati-activity/transaction/aid-type,0..*,"107.2.1: The transaction should also contain a code from the OECD DAC aid type vocabulary.
107.2.2: Each transaction should only contain one aid type code per aid type vocabulary (e.g. 1 - OECD DAC)"
,code,A code from the specified vocabulary.,xsd:string,(Aid Type)(Earmarking Category)(Cash and Voucher Modalities),iati-activities/iati-activity/transaction/aid-type/@code,1..1,
,vocabulary,A code for the vocabulary aid-type classifications. If omitted the AidType (OECD DAC) codelist is assumed. The code must be a valid value in the AidTypeVocabulary codelist. Each selected vocabulary should only be used once for each activity (iati-activity/default-aid-type) or transaction (iati-activity/transaction/aid-type). All activities and/or transactions should contain a code from the DAC Type of Aid Vocabulary. The above guidelines should be converted to rules at the next integer upgrade.,xsd:string,Aid Type Vocabulary,iati-activities/iati-activity/transaction/aid-type/@vocabulary,0..1,
,tied-status,Optional element to override the top-level default-tied-status element on a transaction-by-transaction basis if needed.,,,iati-activities/iati-activity/transaction/tied-status,0..1,
,code,"An IATI code interpreting the usage of Columns 36-38 of the CRS++ reporting format. (Amount tied, Amount partially untied, Amount tied)",xsd:string,Tied Status,iati-activities/iati-activity/transaction/tied-status/@code,1..1,
document-link,,"A link to an online, publicly accessible web page or document.",,,iati-activities/iati-activity/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/document-link/document-date/@iso-date,1..1,
related-activity,,"Another separately reported IATI activity that is related to this one. The ‘type’ attribute describes the type of relationship: (eg. parent, child, multifunded). It is strongly recommended that linkage between activities in a hierarchical group should always be managed by use of this element with @type of 1 (parent) or 2 (child).",,,iati-activities/iati-activity/related-activity,0..*,
,ref,A valid activity identifier (as defined in iati-activity/iati-identifier).,xsd:string,,iati-activities/iati-activity/related-activity/@ref,1..1,1.7.1: The related activity identifier should not start or end with spaces or newlines.
,type,An IATI code for the type of relationship,xsd:string,Related Activity Type,iati-activities/iati-activity/related-activity/@type,1..1,
legacy-data,,"The legacy data element allows for the reporting of values held in a field in the reporting organisation’s system which is similar, but not identical to an IATI element.",,,iati-activities/iati-activity/legacy-data,0..*,
,name,The original field name in the reporting organisation’s system,xsd:string,,iati-activities/iati-activity/legacy-data/@name,1..1,
,value,The original field value in the reporting organisation’s system,xsd:string,,iati-activities/iati-activity/legacy-data/@value,1..1,
,iati-equivalent,The name of the equivalent IATI element.,xsd:NMTOKEN,,iati-activities/iati-activity/legacy-data/@iati-equivalent,0..1,
conditions,,"Specific terms and conditions attached to the activity that, if not met, may influence the delivery of commitments made by participating organisations.",,,iati-activities/iati-activity/conditions,0..1,
,attached,"A yes/no (1/0) value stating whether there are conditions attached to the activity. It is strongly recommended that this attribute is reported, even if there are no conditions attached (i.e. attached=”0”)",xsd:boolean,,iati-activities/iati-activity/conditions/@attached,1..1,
,condition,"The text of a specific condition attached to the activity. Organisation-wide terms and conditions that apply to all activities should not be reported here, but in either iati-organisation/document-link or iati-activity-document-link",,,iati-activities/iati-activity/conditions/condition,0..*,
,type,An IATI code defining the type of condition.,xsd:string,Condition Type,iati-activities/iati-activity/conditions/condition/@type,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/conditions/condition/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/conditions/condition/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/conditions/condition/narrative/@xml:lang,0..1,
result,,"A container for reporting outputs, outcomes, impacts and other results that stem directly from the activity. This may be repeated for each type of result reported.",,,iati-activities/iati-activity/result,0..*,
,type,An IATI code for the type of result being reported.,xsd:string,Result Type,iati-activities/iati-activity/result/@type,1..1,
,aggregation-status,Boolean flag indicating whether the data in the result set are suitable for aggregation.,xsd:boolean,,iati-activities/iati-activity/result/@aggregation-status,0..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/title/narrative/@xml:lang,0..1,
,description,"A longer, human-readable description.",,,iati-activities/iati-activity/result/description,0..1,
