Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Bees Abroad UK,GB-CHC-1108464,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/bauk
Catholic Relief Services,US-EIN-13-5563422,International NGO,United States,2,https://iatiregistry.org/publisher/crs
International Fund for Agricultural Development (IFAD),XM-DAC-41108,Multilateral,(No country assigned),126,https://iatiregistry.org/publisher/ifad
The HALO Trust,GB-CHC-1001813,International NGO,United Kingdom,14,https://iatiregistry.org/publisher/halo
ICCO Cooperation,NL-KVK-56484038,International NGO,Netherlands,2,https://iatiregistry.org/publisher/icco-cooperation
Pump Aid,GB-CHC-1077889,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/pumpaid
Food for the Hungry UK,GB-CHC-328273,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/fh
PEAS (Promoting Equality in African Schools),GB-CHC-1126550,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/peas
Kyiv School of Economics and Management,UA-EDR-37199602,"Academic, Training and Research",Ukraine,2,https://iatiregistry.org/publisher/kse
Education Development Trust,GB-CHC-270901,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/eddevtrust
Retrak,GB-CHC-1122799,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/retrak
UNITAID,XM-DAC-30010,Multilateral,Switzerland,2,https://iatiregistry.org/publisher/utd
Bioclimate Research and Development,GB-SC-044007,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/bioclimate
British Red Cross,GB-CHC-220949,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/gb-chc-220949
CHOICE for Youth and Sexuality,NL-KVK-32108345,International NGO,Netherlands,2,https://iatiregistry.org/publisher/cfyas
Netherlands Enterprise Agency (RVO),NL-KVK-27378529,Government,Netherlands,2,https://iatiregistry.org/publisher/rvo
SeeYou Foundation,NL-KVK-41180500,International NGO,Netherlands,2,https://iatiregistry.org/publisher/syf
Private Infrastructure Development Group,XM-DAC-47086,Multilateral,United Kingdom,2,https://iatiregistry.org/publisher/pidg
BasicNeeds,GB-CHC-1079599,International NGO,United Kingdom,6,https://iatiregistry.org/publisher/basicneeds
Cecily's Fund,GB-CHC-1071660,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cecily
Amref Flying Doctors,NL-KVK-41150298,National NGO,Netherlands,2,https://iatiregistry.org/publisher/amrefnl
Canada - International Development Research Centre/Centre de recherches pour le développement international,XM-DAC-301-2,Other Public Sector,Canada,10,https://iatiregistry.org/publisher/idrccrdi
CODA International,GB-CHC-1000717,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/coda
InterAction,US-EIN-13-3287064,International NGO,United States,2,https://iatiregistry.org/publisher/interaction
Desmond Tutu HIV Foundation,ZA-ROC-1999/05072/08,"Academic, Training and Research",South Africa,2,https://iatiregistry.org/publisher/dthfxx12
Hagar International UK,GB-CHC-1143852,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hagar_uk
Water Witness International,GB-COH-353570,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/water-witness-international
RAIN Foundation (former),NL-KVK-34200988 (deprecated),International NGO,Netherlands,4,https://iatiregistry.org/publisher/rainfoundation
Stichting Aflatoun International,NL-KVK-34229026,International NGO,Netherlands,1,https://iatiregistry.org/publisher/aflatoun
UK - Ministry of Defence,GB-GOV-8,Government,United Kingdom,3,https://iatiregistry.org/publisher/ukmod
mothers2mothers,ZA-NPO-025-359,International NGO,South Africa,3,https://iatiregistry.org/publisher/m2m_sa
partos,NL-KVK-34214586,National NGO,Netherlands,2,https://iatiregistry.org/publisher/partos_nl
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,Multilateral,France,2,https://iatiregistry.org/publisher/unesco
Abaseen Foundation UK,GB-CHC-1157009,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/abaseen
Association de Soutien au Développement des Activités de Population,ML-NIF-086108989R,National NGO,Mali,3,https://iatiregistry.org/publisher/asdap
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",BD-NAB-0203,National NGO,Bangladesh,2,https://iatiregistry.org/publisher/bapsa
International Service,GB-CHC-1069182,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/unais
Avanti Communications Plc,GB-COH-06133927,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/ava_admin
Friends of the Earth-Ghana,GH-DSW-258,National NGO,Ghana,2,https://iatiregistry.org/publisher/foe-ghana
European Investment Bank,XM-DAC-918-3,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/eib
World Child Cancer UK,GB-CHC-1084729,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/wccuk
Magariro,MZ-MOJ-F2G1No4,National NGO,Mozambique,1,https://iatiregistry.org/publisher/magariro
European Bank for Reconstruction and Development,XI-IATI-EBRD,Multilateral,"Bilateral, unspecified",2,https://iatiregistry.org/publisher/ebrd
The Open University,GB-CHC-000391,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/open_university
Mifumi UK,GB-CHC-1038785,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mifumi_uk
Project Harar,GB-CHC-1094272,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/phe
Romania Ministry of Foreign Affairs,XM-DAC-77,Government,Romania,3,https://iatiregistry.org/publisher/uasd
The Coca-Cola Export Corporation,XI-IATI-1001,Private Sector,United States,1,https://iatiregistry.org/publisher/tccec
Welbodi Partnership,GB-CHC-1125217,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/welbodipartnership
Kepa ry,FI-PRO-143138,National NGO,Finland,2,https://iatiregistry.org/publisher/kepa
Windle Trust Kenya,KE-NCB-OP/218/051/915/65,National NGO,Kenya,1,https://iatiregistry.org/publisher/wtk
Stichting Agriterra,NL-KVK-41048542,Foundation,Netherlands,4,https://iatiregistry.org/publisher/agriterra
Cheshire Services Uganda,UG-NGB-5914-7209,National NGO,Uganda,1,https://iatiregistry.org/publisher/csu
Carers Worldwide,GB-CHC-1150214,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cww
KwaAfrica,GB-CHC-1054369,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/kwaafrica
Adventist Development and Relief Agency (ADRA Somalia),KE-NGC-663,International NGO,Somalia,2,https://iatiregistry.org/publisher/adrasom
ADRA-UK,GB-CHC-1074937,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/adrauk
ANDA,MZ-MOJ-F30G1No89,National NGO,Mozambique,1,https://iatiregistry.org/publisher/anda
Haiti Hospital Appeal,GB-CHC-1117528,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hha
Sympany+,NL-KVK-30285304,International NGO,Netherlands,3,https://iatiregistry.org/publisher/simone_sympany
Internews Europe,GB-CHC-1148404,International NGO,United Kingdom,12,https://iatiregistry.org/publisher/ieu
GPPAC Foundation,NL-KVK-41217404,International NGO,Netherlands,2,https://iatiregistry.org/publisher/gppac
War on Want NI,GB-COH-NI011322,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/wowni
Youth Business International,GB-CHC-1123946,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/ybi
Anti-Slavery International,GB-CHC-1049160,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/asil
Belgian Development Cooperation,XM-DAC-2-10,Government,Belgium,5,https://iatiregistry.org/publisher/be-dgd
Mott MacDonald Limited,GB-COH-1110949,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/mml
The Asia Foundation,US-EIN-941191246,International NGO,United States,13,https://iatiregistry.org/publisher/taf
Cyan International,GB-CHC-1129603,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cyan
Scottish Catholic International Aid Fund (SCIAF),GB-SC-SC012302,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/sciaf
Signal,GB-CHC-1151615,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/signal
Lemann Foundation,CH-FDJP-CHE109668357,Foundation,Switzerland,1,https://iatiregistry.org/publisher/lemann
CRANE,UG-NGB-5914-9186,National NGO,Uganda,2,https://iatiregistry.org/publisher/crane
BBC Media Action,GB-CHC-1076235,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/bbcmediaaction
Natural Resource Governance Institute (NRGI),US-EIN-20-4451390,International NGO,United States,2,https://iatiregistry.org/publisher/nrgi
Pontis Foundation,SK-ZRSR-31784828,Foundation,Slovakia,9,https://iatiregistry.org/publisher/pontis
Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Government,Norway,2,https://iatiregistry.org/publisher/norad
Rights and Resources Initaitive,US-EIN-20-3690821,International NGO,United States,1,https://iatiregistry.org/publisher/rri
Stichting Humana,NL-KVK-30285304,International NGO,Netherlands,2,https://iatiregistry.org/publisher/humana_houben
Kenya Community Development Foundation,KE-RCO-C95110,Foundation,Kenya,1,https://iatiregistry.org/publisher/kcdf
Syria Justice and Accountability Centre (SJAC),US-EIN-81-3014704,National NGO,United States,2,https://iatiregistry.org/publisher/sjac
Stromme Foundation,XI-IATI-5914-1107,National NGO,Uganda,2,https://iatiregistry.org/publisher/stromme_ug
interburns,GB-CHC-1122299,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/interburns
Development Initiatives Poverty Research,GB-COH-06368740,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/dipr
Royal Society for the Protection of Birds,GB-CHC-207076,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/rspb_
Progressio (closed),GB-CHC-294329,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/progressio
Tanager,US-EIN-52-1826242,International NGO,United States,2,https://iatiregistry.org/publisher/tan
Resource Extraction Monitoring,GB-COH-4905100,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/rem
Homeless International,GB-CHC-1017255,International NGO,United Kingdom,6,https://iatiregistry.org/publisher/hi
Young Innovations Pvt. Ltd,NP-CRO-45995/063/064,"Academic, Training and Research",Nepal,3,https://iatiregistry.org/publisher/yipl
The International Institute for Sustainable Development,CA-CRA_ACR-127202349,International NGO,Canada,3,https://iatiregistry.org/publisher/iisd
Office for National Statistics,GB-GOV-24,Government,United Kingdom,1,https://iatiregistry.org/publisher/ons
HealthProm,GB-COH-4887855,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hp_12
World Vision UK,GB-CHC-285908,International NGO,United Kingdom,35,https://iatiregistry.org/publisher/wvuk
Traidcraft Exchange,GB-COH-3031674,International NGO,United Kingdom,6,https://iatiregistry.org/publisher/traidcraft
Send a Cow,GB-CHC-299717,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/sendacow
Wayamo Foundation,DE-CR-RA000217-HRB157125B,International NGO,Germany,1,https://iatiregistry.org/publisher/wayamo
Trust for Africa's Orphans,GB-CHC-1069208,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/tao-03473165
Railway Children,GB-CHC-1058991,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/rc
Forests Monitor,GB-COH-3008440,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/fm
SOS Sahel International UK,GB-COH-2100867,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/sossaheluk
Survivors Fund (SURF),GB-CHC-1065705,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/surf
ADD International (Action on Disability and Development),GB-COH-294860,International NGO,United Kingdom,14,https://iatiregistry.org/publisher/addinternational
Sense International,GB-CHC-1076497,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/sense_international
NGO Federation of Nepal,NP-DAO-27-689/063/064,National NGO,Nepal,1,https://iatiregistry.org/publisher/nfn
Friends of Kipkelion,GB-CHC-1142476,Regional NGO,Kenya,2,https://iatiregistry.org/publisher/kipkelion
Vision for a Nation Foundation,GB-CHC-1140123,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/vfan
The Leprosy Mission England and Wales,GB-CHC-1050327,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/tlmew
APT Action on Poverty,GB-CHC-290836,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/apt
Hope and Homes for Children,GB-CHC-1089490,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hhc
Welsh Centre for International Affairs,GB-CHC-1156822,National NGO,United Kingdom,1,https://iatiregistry.org/publisher/wcia
World Wide Fund for Nature - Pakistan,21-PK-WWF,International NGO,Pakistan,2,https://iatiregistry.org/publisher/wwfpakistan
Pan African Climate Justice Alliance,KE-NCB-OP218051200904966065,International NGO,Kenya,1,https://iatiregistry.org/publisher/pacja
Global Disability Innovation Hub,GB-COH-11126312,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/gdihub
KPMG LLP,GB-COH-OC301540,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/kpmgllp
Global Alliance for Livestock Veterinary Medicines,GB-COH-05393391,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/galvmed
Pragya India,IN-AR-775,National NGO,India,2,https://iatiregistry.org/publisher/pragya
Y Care International,GB-CHC-1109789,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ycare
Protecting Families Against HIV/AIDS,UG-NGB-63360,National NGO,Uganda,2,https://iatiregistry.org/publisher/prefa_1
"WO=MEN, Dutch Gender Platform",NL-KVK-27293385,National NGO,Netherlands,1,https://iatiregistry.org/publisher/wo-men
Farm Africa,GB-COH-01926828,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/fa
Center for Development and Integration,VN-MOST-A399,National NGO,Viet Nam,2,https://iatiregistry.org/publisher/cdi_vn_2021
Oxfam India,IN-MCA-U74999DL2004NPL131340,National NGO,India,2,https://iatiregistry.org/publisher/oxfamindia
International Primary Care Respiratory Group,GB-SC-035056,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/ipcrg
Stichting ActionAId,NL-KVK-41217595,International NGO,Netherlands,2,https://iatiregistry.org/publisher/aanl
Oxfam IBIS,DK-CVR-88136411,International NGO,Denmark,2,https://iatiregistry.org/publisher/ibis_denmark
Cordaid,NL-KVK-41160054,International NGO,Netherlands,5,https://iatiregistry.org/publisher/cordaid
Aasaman Nepal,NP-SWC-27693,National NGO,Nepal,1,https://iatiregistry.org/publisher/aasaman
Alfalit,MZ-MOJ-203D,National NGO,Mozambique,1,https://iatiregistry.org/publisher/alfalit
Kadaster International,NL-KVK-08215619-201210000,Government,Netherlands,1,https://iatiregistry.org/publisher/kad
ECDPM,NL-KVK-41077447,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/ecdpm
Doctors of the World UK,GB-CHC-1067406,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/dotw_uk
Disability and Development Partners,GB-CHC-1046001,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ddp
Allergy and Asthma Institute Pakistan,PK-NTN-6110190392611,"Academic, Training and Research",Pakistan,1,https://iatiregistry.org/publisher/aaip
Hand in Hand International,GB-CHC-1113868,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/handinhand
Transparency International Bangladesh,BD-NAB-1301,National NGO,Bangladesh,32,https://iatiregistry.org/publisher/tib
Stichting fondsbeheer DGGF lokaal MKB,NL-KVK-61172863,Foundation,Netherlands,2,https://iatiregistry.org/publisher/dggf_financing_local_smes
Abt Associates Inc,US-EIN-042347643,Private Sector,United States,1,https://iatiregistry.org/publisher/abt
"Lithuania, Ministry of Foreign Affairs",XM-DAC-84,Government,Lithuania,2,https://iatiregistry.org/publisher/lithuania_mfa
Christian Aid Ireland,IE-CHY-6998,International NGO,Ireland,2,https://iatiregistry.org/publisher/caid_ireland
Free a Girl,NL-KVK-34308169,Foundation,Netherlands,7,https://iatiregistry.org/publisher/freeagirl
United Mission to Nepal,XI-IATI-1002,International NGO,Nepal,2,https://iatiregistry.org/publisher/umn
MADE in Europe,GB-COH-1134415,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/mie-1134415
The Salvation Army International Development UK,GB-CHC-214779,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/said-uk
InterAction's NGO Aid Map,US-EIN-13-3287064NAM,International NGO,United States,105,https://iatiregistry.org/publisher/ia_nam
Varkey Foundation,GB-CHC-1145119,International NGO,Ghana,3,https://iatiregistry.org/publisher/varkeyfoundation
dance4life,NL-KVK-34197379,International NGO,Netherlands,8,https://iatiregistry.org/publisher/dance4life
World Vision International,US-EIN-95-3202116,International NGO,United States,2,https://iatiregistry.org/publisher/wvi
Learning for Life,GB-CHC-1105277,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/learningforlife
Orbis Charitable Trust,GB-CHC-1061352,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/orbis_uk
UK - Scottish Government,GB-GOV-21,Government,United Kingdom,1,https://iatiregistry.org/publisher/scottish_government
Options Consultancy Services,GB-COH-2695347,Private Sector,United Kingdom,12,https://iatiregistry.org/publisher/options
Terre des Hommes Netherlands,NL-KVK-41149287,International NGO,Netherlands,1,https://iatiregistry.org/publisher/tdh_nl
Wellfound,GB-CHC-1110434,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/wellfound
Stichting Vluchteling,NL-KVK-41149486,International NGO,Netherlands,2,https://iatiregistry.org/publisher/st_vluchteling
Zing,GB-CHC-1133342,Foundation,United Kingdom,1,https://iatiregistry.org/publisher/zing
ZOA,NL-KVK-41009723,International NGO,Netherlands,2,https://iatiregistry.org/publisher/zoa
Stichting Onderzoek Multinationale Ondernemingen (SOMO),NL-KVK-41223308,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/somo
WYG International B.V.,NL-KVK-06702132,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/wygi
Itad,GB-COH-1869600,Private Sector,United Kingdom,8,https://iatiregistry.org/publisher/itad
Oxford Policy Management,GB-COH-03122495,Private Sector,United Kingdom,3,https://iatiregistry.org/publisher/opml
Upper Quartile,GB-COH-SC301345,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/uq
International Procurement Agency,NL-KVK-32037590,Private Sector,Netherlands,6,https://iatiregistry.org/publisher/ipa
Nathan Associates London Ltd.,GB-COH-02768268,Private Sector,United Kingdom,7,https://iatiregistry.org/publisher/nathan
Alcis Holdings Limited,GB-COH-5155300,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/alcis
Ajuda de Desenvolvimento de Povo para Povo (ADPP),mz-moj-64vq1,National NGO,Mozambique,1,https://iatiregistry.org/publisher/adpp
Palladium International Ltd (UK),GB-COH-2394229,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/palladium
Plan International Finland,FI-PRO-1498487-2,International NGO,Finland,1,https://iatiregistry.org/publisher/planinternationalfinland
Rutgers,NL-KVK-41193594,International NGO,Netherlands,2,https://iatiregistry.org/publisher/rutgers
Maxwell Stamp PLC,GB-COH-00637978,Private Sector,United Kingdom,5,https://iatiregistry.org/publisher/mstamp
African Academy of Sciences,KE-NCB-218-051-9341-334,International NGO,Kenya,2,https://iatiregistry.org/publisher/aas
LAMB Health Care Foundation,GB-CHC-1101217,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/lhcf
PwC,GB-COH-03580586,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/pwc
Link Community Development International,GB-CHC-1048007,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/lcdi_admin
The Convention on Business Integrity,NG-CAC-RC481360,International NGO,Nigeria,1,https://iatiregistry.org/publisher/cbi-nigeria
Landell Mills,GB-COH-1574821,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/landell-mills
"Natural Resources Institute, University of Greenwich.",GB-COH-00986729,"Academic, Training and Research",United Kingdom,9,https://iatiregistry.org/publisher/nri
War Child Holland,NL-KVK-41215393,International NGO,Netherlands,2,https://iatiregistry.org/publisher/warchildholland
Atos IT Services Ltd,GB-COH-01245534,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/atosuk
CARE Nederland,NL-KVK-41158230,International NGO,Netherlands,2,https://iatiregistry.org/publisher/carenederland
IOD PARC,GB-COH-03613839,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/iodparc
Clean Clothes Campaign,NL-KVK-41210820,International NGO,Netherlands,2,https://iatiregistry.org/publisher/ccc
McKinsey & Company,GB-COH-FC012665,Private Sector,(No country assigned),7,https://iatiregistry.org/publisher/mck
Aktis Strategy Ltd,GB-COH-08327972,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/aktis
Dorcas Aid International,NL-KVK-41236410,International NGO,Netherlands,2,https://iatiregistry.org/publisher/dai
Millennium Challenge Corporation,US-18,Government,United States,50,https://iatiregistry.org/publisher/millenniumchallenge
Mama Cash,NL-KVK-41202535,Foundation,Netherlands,2,https://iatiregistry.org/publisher/mamac
Simprints,GB-COH-8835431,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/simprints
Water Works,GB-CHC-1158206,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/waterworks
PAX,NL-KVK-30214009,International NGO,Netherlands,2,https://iatiregistry.org/publisher/pax
DECP,NL-KVK-27284008,National NGO,Netherlands,2,https://iatiregistry.org/publisher/decp
Urgent Action Fund Latin America and the Caribbean,CO-CCB-00159397,Regional NGO,Colombia,2,https://iatiregistry.org/publisher/uafla
Urgent Action Fund for Women's Human Rights,US-EIN-03-0419743,International NGO,United States,2,https://iatiregistry.org/publisher/uaf
TEAR fund Nederland,NL-KVK-41177385,National NGO,Netherlands,1,https://iatiregistry.org/publisher/tear
SNV Netherlands Development Organisation,NL-KVK-41152786,International NGO,Netherlands,2,https://iatiregistry.org/publisher/snv
Stichting Kinderpostzegels Nederland,NL-KVK-41167934,International NGO,Netherlands,2,https://iatiregistry.org/publisher/skn
Just Associates,US-EIN-06-1597-668,International NGO,United States,2,https://iatiregistry.org/publisher/jass
Fight Hunger Foundation,IN-MHA-083781496,National NGO,India,1,https://iatiregistry.org/publisher/fhf
Association for Women's Rights in Development (AWID),US-EIN-521291786,International NGO,United States,2,https://iatiregistry.org/publisher/awid
World Vision Netherlands,NL-KVK-41179943,Foundation,Netherlands,2,https://iatiregistry.org/publisher/wvnld
Save the Children Netherlands,NL-KVK-41201463,International NGO,Netherlands,35,https://iatiregistry.org/publisher/scnl
IRC,NL-KVK-41151952,International NGO,Netherlands,1,https://iatiregistry.org/publisher/irc
United Nations Central Emergency Response Fund (CERF),XM-OCHA-CERF,Multilateral,United States,19,https://iatiregistry.org/publisher/cerf
AWEPA,NL-KVK-34106722,International NGO,Netherlands,2,https://iatiregistry.org/publisher/awepa
Simavi,NL-KVK-40594571,Foundation,Netherlands,3,https://iatiregistry.org/publisher/simavi
Stichting Woord en Daad,NL-KVK-41118168,International NGO,Netherlands,2,https://iatiregistry.org/publisher/w-d
Plan International Netherlands,NL-KVK-41198890,International NGO,Netherlands,2,https://iatiregistry.org/publisher/plannlno
The OPEC Fund for International Development (OFID),XI-IATI-OFID,Multilateral,Austria,1,https://iatiregistry.org/publisher/ofid
The Commonwealth Secretariat,XI-IATI-CWSEC,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/commonwealthsecretariat
Wemos Foundation,NL-KVK-41201644,International NGO,Netherlands,2,https://iatiregistry.org/publisher/wemos
Promundo-US,US-EIN-26-1931968,International NGO,United States,4,https://iatiregistry.org/publisher/pmo-us
Royal Tropical Institute,NL-KVK-33185213,International NGO,Netherlands,2,https://iatiregistry.org/publisher/kit
Stichting Health Action International,NL-KVK-41207580,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hai
Fondo Centroamericano de Mujeres,NI-MIGOB-3602,Foundation,Nicaragua,2,https://iatiregistry.org/publisher/fcam
UTZ,NL-KVK-34159275,International NGO,Netherlands,2,https://iatiregistry.org/publisher/utz
Aidsfonds - Soa Aids Nederland,NL-KVK-41207989,International NGO,Netherlands,2,https://iatiregistry.org/publisher/nl-kvk-41207989
African Centre for Global Health and Social Transformation,UG-RSB-73316,International NGO,Uganda,2,https://iatiregistry.org/publisher/achest
Family Aids Caring Trust,ZW-PVO-WO1789,National NGO,Zimbabwe,2,https://iatiregistry.org/publisher/fact
Liverpool School of Tropical Medicine,GB-CHC-222655,"Academic, Training and Research",United Kingdom,3,https://iatiregistry.org/publisher/lstm
Urgent Action Fund-Africa,KE-NCB-200201282375,Regional NGO,Kenya,2,https://iatiregistry.org/publisher/uaf-africa
Aeras,US-EIN-522044704,International NGO,United States,2,https://iatiregistry.org/publisher/aeras
ColaLife,GB-CHC-1142516,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/colalife
International Development Law Organization (IDLO),XM-DAC-47059,Multilateral,Italy,2,https://iatiregistry.org/publisher/idlo
Mensen met een Missie,NL-KVK-41149831,National NGO,Netherlands,4,https://iatiregistry.org/publisher/mm1
Netherlands Food Partnership,NL-KVK-30204842,Foundation,Netherlands,2,https://iatiregistry.org/publisher/nfp
Defence for Children International Netherlands - ECPAT Netherlands,NL-KVK-41208813,National NGO,Netherlands,17,https://iatiregistry.org/publisher/dciecpatnl
International Labour Organization (ILO),XM-DAC-41302,Multilateral,Switzerland,8,https://iatiregistry.org/publisher/ilo
Netherlands Institute for Multiparty Democracy (NIMD),NL-KVK-27189542,International NGO,Netherlands,2,https://iatiregistry.org/publisher/nimd-hq
Milieudefensie,NL-KVK-40530467,National NGO,Netherlands,2,https://iatiregistry.org/publisher/foenl
Friends of Publish What You Fund,US-EIN-47-4128047,International NGO,United States,2,https://iatiregistry.org/publisher/friendsofpwyf
Bangladesh Primary Care Respiratory Society,BD-ROC-S-12313,"Academic, Training and Research",Bangladesh,2,https://iatiregistry.org/publisher/bpcrs
HE Foundation,NL-KVK-58183167,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hefoundation
Amref Health Africa in Kenya,KE-NCB-93175,International NGO,Kenya,2,https://iatiregistry.org/publisher/amrefkenya
Solidaridad Europe,NL-KVK-41150939,International NGO,Netherlands,2,https://iatiregistry.org/publisher/solidaridad-europe
The Uganda Association of Women Lawyers ( FIDA Uganda),UG-RSB-29587,National NGO,Uganda,1,https://iatiregistry.org/publisher/fidauganda
CREA,US-EIN-31-1812979,International NGO,India,2,https://iatiregistry.org/publisher/creausa-org
Free Press Unlimited,NL-KVK-52957535,International NGO,Netherlands,2,https://iatiregistry.org/publisher/free_press_unlimited
WASTE advisers on urban environment and development,NL-KVK-41172933,Foundation,Netherlands,3,https://iatiregistry.org/publisher/waste
SECOURS CATHOLIQUE - CARITAS FRANCE,FR-SIRET-77566669600015,International NGO,France,3,https://iatiregistry.org/publisher/sccf
Disasters Emergency Committee,GB-CHC-1062638,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/dec-uk
Peace Brigades International,US-EIN-91-1179750,International NGO,United States,1,https://iatiregistry.org/publisher/pbi_io
Netherlands Red Cross,NL-KVK-40409352,International NGO,Netherlands,2,https://iatiregistry.org/publisher/nlrc
International Climate Initiative / BMU - IKI Secretariat,XI-IATI-IKI,Government,Germany,1,https://iatiregistry.org/publisher/bmu_iki
Solidaridad,NL-KVK-51756811,International NGO,Netherlands,2,https://iatiregistry.org/publisher/solidaridad
Fair Wear Foundation,NL-KVK-34111374,International NGO,Netherlands,2,https://iatiregistry.org/publisher/fwf
Amnesty International The Netherlands,NL-KVK-40530953,International NGO,Netherlands,2,https://iatiregistry.org/publisher/amnesty
Mondiaal FNV,NL-KvK-41177601,National NGO,Netherlands,12,https://iatiregistry.org/publisher/mondiaalfnv
WNF Wereld Natuur Fonds,NL-KVK-41177588,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wnf
International Women's Development Agency,AU-ACNC-19242959685,International NGO,Australia,3,https://iatiregistry.org/publisher/iwda
IUCN Nederlands Comité,NL-KVK-41180885,International NGO,Netherlands,2,https://iatiregistry.org/publisher/iucn_nl
Tropenbos International,NL-KVK-41155305,International NGO,Netherlands,2,https://iatiregistry.org/publisher/tbi
